pl_hostname,pl_name,ra,dec,st_dist,st_optmag
Kepler-177,Kepler-177 b,286.047132,45.053207,1068,15
Kepler-177,Kepler-177 c,286.047132,45.053207,1068,15
Kepler-178,Kepler-178 b,287.101089,46.896477,741,14.598
Kepler-178,Kepler-178 c,287.101089,46.896477,741,14.598
Kepler-178,Kepler-178 d,287.101089,46.896477,741,14.598
Kepler-179,Kepler-179 b,298.663735,47.762043,660,14.613
Kepler-179,Kepler-179 c,298.663735,47.762043,660,14.613
Kepler-18,Kepler-18 b,298.079439,44.746321,507,13.549
Kepler-18,Kepler-18 c,298.079439,44.746321,507,13.549
Kepler-18,Kepler-18 d,298.079439,44.746321,507,13.549
Kepler-180,Kepler-180 b,295.571343,49.774586,675,14.35
Kepler-180,Kepler-180 c,295.571343,49.774586,675,14.35
Kepler-181,Kepler-181 b,296.151402,50.095806,667,14.707
Kepler-181,Kepler-181 c,296.151402,50.095806,667,14.707
Kepler-182,Kepler-182 b,289.830114,50.586246,1409,14.896
Kepler-182,Kepler-182 c,289.830114,50.586246,1409,14.896
Kepler-183,Kepler-183 b,293.530848,39.315898,1015,14.943
Kepler-183,Kepler-183 c,293.530848,39.315898,1015,14.943
Kepler-184,Kepler-184 b,291.951908,43.074715,716,14.338
Kepler-184,Kepler-184 c,291.951908,43.074715,716,14.338
Kepler-184,Kepler-184 d,291.951908,43.074715,716,14.338
Kepler-185,Kepler-185 b,282.468103,43.889915,511,14.458
Kepler-185,Kepler-185 c,282.468103,43.889915,511,14.458
Kepler-186,Kepler-186 b,298.652714,43.955017,172,14.625
Kepler-186,Kepler-186 c,298.652714,43.955017,172,14.625
Kepler-186,Kepler-186 d,298.652714,43.955017,172,14.625
Kepler-186,Kepler-186 e,298.652714,43.955017,172,14.625
Kepler-186,Kepler-186 f,298.652714,43.955017,172,14.625
Kepler-187,Kepler-187 b,299.796456,44.089306,867,14.173
Kepler-187,Kepler-187 c,299.796456,44.089306,867,14.173
Kepler-188,Kepler-188 b,281.27971,44.315533,896,14.674
Kepler-188,Kepler-188 c,281.27971,44.315533,896,14.674
Kepler-189,Kepler-189 b,287.564731,44.305004,618,14.859
Kepler-189,Kepler-189 c,287.564731,44.305004,618,14.859
Kepler-19,Kepler-19 b,290.420839,37.851786,2119,11.898
Kepler-19,Kepler-19 c,290.420839,37.851786,2119,11.898
Kepler-19,Kepler-19 d,290.420839,37.851786,2119,11.898
Kepler-190,Kepler-190 b,288.584039,44.733799,455,14.137
Kepler-190,Kepler-190 c,288.584039,44.733799,455,14.137
Kepler-191,Kepler-191 b,291.183386,45.323177,626,14.808
Kepler-191,Kepler-191 c,291.183386,45.323177,626,14.808
Kepler-191,Kepler-191 d,291.183386,45.323177,626,14.808
Kepler-192,Kepler-192 b,287.917924,45.592876,616,14.129
Kepler-192,Kepler-192 c,287.917924,45.592876,616,14.129
Kepler-192,Kepler-192 d,287.917924,45.592876,616,14.129
Kepler-193,Kepler-193 b,296.498596,46.577244,1196,14.615
Kepler-193,Kepler-193 c,296.498596,46.577244,1196,14.615
Kepler-194,Kepler-194 b,291.971445,47.864174,1218,14.915
