loc_rowid,epic_name,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
1142,EPIC 212435047,202.130722,-14.126292,1.115485,0.000108,-0.00011,0,2457218.445,0.004406,-0.00425,0,,,,,,,,,0.0132,0.0019,-0.001,0,1.6,0.3,-0.2,0,1.1,,,0,12.389,,0,10.907,0.023,0
1143,EPIC 212435047,202.130722,-14.126292,1.115,,,0,2457218.451,,,0,,,,,,,,,0.01227,,,0,,,,,,,,,12.389,,0,10.907,0.023,0
1144,EPIC 212435047,202.130722,-14.126292,1.11562824,,,0,2457225.136,,,0,,,,,,,,,,,,,,,,,,,,,12.389,,0,10.907,0.023,0
1145,EPIC 212440430,204.035599,-14.009217,19.991,,,0,2457228.16,,,0,,,,,,,,,0.02328,,,0,,,,,,,,,13.267,,0,11.776,0.024,0
1146,EPIC 212443457,209.409027,-13.942667,24.462656,0.002236,-0.002131,0,2457233.686,0.003072,-0.003323,0,,,,,,,,,0.1842,0.2925,-0.0681,0,13.6,22.3,-7.4,0,0.68,,,0,13.116,,0,10.693,0.023,0
1147,EPIC 212443973,205.008896,-13.932038,0.77923,0.00005,-0.00005,0,2457256.71,0.002,-0.002,0,83.74,,,0,7.23,,,0,0.023,0.083,-0.004,0,0.87,3.11,-0.17,0,,,,,14.951,,0,11.197,0.027,0
1148,EPIC 212443973,205.008896,-13.932038,0.779,,,0,2457217.748,,,0,,,,,,,,,0.01921,,,0,,,,,,,,,14.951,,0,11.197,0.027,0
1149,EPIC 212451091,211.471329,-13.779389,12.666,,,0,2457226.371,,,0,,,,,,,,,0.04332,,,0,,,,,,,,,14.244,,0,12.612,0.029,0
1150,EPIC 212454160,203.637268,-13.712618,0.876,,,0,2457218.236,,,0,,,,,,,,,0.0121,,,0,,,,,,,,,12.682,,0,11.256,0.023,0
1151,EPIC 212454422,198.553146,-13.706878,3.269,,,0,2457220.227,,,0,,,,,,,,,0.11168,,,0,,,,,,,,,16.899,,0,13.59,0.052,0
